,date,CPI,Mortgage_rate,Unemp_rate,NASDAQ,disposable_income,Personal_consumption_expenditure,personal_savings,Date,State,Dead,Injured,Total,Description
0,1980-11,85.6,14.205,7.5,200.68555555555557,4976.5,1826.8,11.6,2019-12,Texas,3,0,3,"West Freeway Church of Christ shooting: Two people were killed inside the West Freeway Church of Christ by a gunman before he was shot and killed by a member of the security team. The attack was livestreamed, leading to numerous social media posts showing the shooting in progress."
0,1980-11,85.6,14.205,7.5,200.68555555555557,4976.5,1826.8,11.6,2018-12,Ohio,3,2,5,A dispute began at a rented Airbnb during a New Year's Eve party. Three men were killed and another man and woman were wounded.
0,1980-11,85.6,14.205,7.5,200.68555555555557,4976.5,1826.8,11.6,2020-12,Indiana,1,3,4,A shooting unfolded outside a nightclub on New Year's Eve that killed a man and sent three others to the hospital.
0,1980-11,85.6,14.205,7.5,200.68555555555557,4976.5,1826.8,11.6,2021-12,Maryland,0,4,4,An adult and three juveniles were wounded in an evening shooting.
0,1980-11,85.6,14.205,7.5,200.68555555555557,4976.5,1826.8,11.6,2022-05,South Carolina,0,4,4,Four people were injured in a drive-by shooting shortly before midnight.
1,1980-12,86.4,14.79,7.2,198.3986363636364,4999.8,1851.7,11.4,2019-12,California,0,5,5,Five people were shot outside a home after returning from a bar in Modesto where they had been involved in an altercation.
1,1980-12,86.4,14.79,7.2,198.3986363636364,4999.8,1851.7,11.4,2018-12,Ohio,1,3,4,One person was killed and three people were wounded in a shooting at an afterhours club.
1,1980-12,86.4,14.79,7.2,198.3986363636364,4999.8,1851.7,11.4,2020-12,Oregon,0,4,4,Four people were wounded after a shooting at a party. All four are expected to survive.
1,1980-12,86.4,14.79,7.2,198.3986363636364,4999.8,1851.7,11.4,2021-12,California,0,6,6,Six shoppers were wounded at a grocery supermarket by two shooters.
1,1980-12,86.4,14.79,7.2,198.3986363636364,4999.8,1851.7,11.4,2022-05,Michigan,3,2,5,Three people were killed and two others wounded in a shooting during the early morning.
2,1981-01,87.2,14.904,7.5,198.81761904761905,4980.4,1870.0,10.9,2019-12,Illinois,0,5,5,Five women aged 18 to 32 years old were injured by gunfire after the home they were in was shot at by an unknown person.
2,1981-01,87.2,14.904,7.5,198.81761904761905,4980.4,1870.0,10.9,2018-12,Missouri,4,1,5,"A gunman shot and killed his girlfriend, her two children, and her mother. He was arrested after exchanging fire with police and attempting to carjack a vehicle."
2,1981-01,87.2,14.904,7.5,198.81761904761905,4980.4,1870.0,10.9,2020-12,United States Virgin Islands,0,4,4,Four men were wounded after a shooting near a restaurant.
